name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
Salvage Supperclub,New York,NY,USA,Local,"Salvage Supperclub exists to create inspiring food experiences with a purpose, hosting dinners in dumpsters, where all of the ingredients for the meals come from food that would otherwise go to waste. Proceeds from the dinners go to support local organizations fighting food waste.",Nonprofit,Prevention,Consumer Education,Campaigns,Consumer Education Campaigns,2013,http://www.salvagesupperclub.com/,https://www.facebook.com/salvagesupperclub/,,,salvagesupperclub@gmail.com
Scelta Taste Accelerator - Scelta Mushrooms,Venlo,,Netherlands,National,"Scelta Taste Accelerator (STA) is a great alternative to MSG/I+G/AYE. Trying to reduce sodium without KCl? Scelta’s natural vegetable extracts will solve your formulation challenges and keep your ingredient list clean in a wide range of applications, from bread and potato chips to soups. Mushroom waste is utilized to make this product. ",For-Profit,Prevention,Food Product Creation,Food Scraps,Value-Added Processing,1993,http://www.sceltamushrooms.com/natural-flavour-enhancer,,,https://www.linkedin.com/company/scelta-mushrooms-b-v-?trk=top_nav_home,sales@sceltamushrooms.com
SEaB Energy Limited,Hampshire,,United Kingdom,National,"SEaB Energy Limited has patented the innovative Muckbuster® and Flexibuster™: compact, easy-to-install, turnkey Anaerobic Digestion (AD) systems in shipping containers. These are being installed globally, directly and through distribution and licensing agreements.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion); On-Site Processing Solution,Distributed Anaerobic Digestion,Centralized Anaerobic Digestion,2011,http://seabenergy.com/,https://www.facebook.com/seabenergy,https://twitter.com/SeabEnergy,https://www.linkedin.com/company/963882?trk=tyah,info@seabenergy.com
Seal the Seasons,Hillsborough,NC,USA,Local,"Seal the Seasons believes in a more healthy and transparent food system. We are a local food brand changing the way consumers support local farmers. We market locally grown, locally frozen fruits and vegetables in grocery stores.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2014,http://www.sealtheseasons.com/,https://www.facebook.com/sealtheseasons,https://twitter.com/sealtheseasons,,patrick@sealtheseasons.com
Seattle Food Rescue,Seattle,WA,USA,Local,"Seattle Food Rescue is a 501c3 non-profit based in Seattle, Washington. We're working to improve nutritional access and health outcomes by redistributing otherwise wasted food directly to low income communities. Utilizing bikes to transport food enables food pick-up from smaller stores that are inaccessible to trucks. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2014,http://seattlefoodrescue.org/,https://www.facebook.com/seattlefoodrescue,,,seattlefoodrescue@gmail.com
Seattle's Table - Food Lifeline,Seattle,WA,USA,Local,"Started in 1989, Food Lifeline’s Seattle's Table is a nationally recognized program that captures prepared and perishable foods from local restaurants, hotels, universities and corporate cafeterias. This food is then delivered directly to 50 meal programs throughout King County, turning surplus food into hot meals for people in need.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,1979,https://foodlifeline.org/solving-hunger/innovative-programs/seattles-table,https://www.facebook.com/FoodLifeline,https://twitter.com/FoodLifeline,,info@fll.org
Second Helpings,Atlanta,GA,USA,Local,"Second Helpings Atlanta, Inc. (SHA) is a501(c)(3) non-profit organization whose vision is to eliminate hunger in the 5 county Metropolitan Atlanta area by rescuing surplus food and delivering it to those in need. With a team of over 400 volunteer drivers, SHA serves as the link between our network of over 50 donors and the front-line agencies who feed the hungry on a daily basis.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2004,https://www.secondhelpingsatlanta.org/,https://www.facebook.com/SecondHelpingsATL/,,,director@secondhelpings.info
SecondsFirst,Providence,RI,USA,Local,"We produce high-quality, nutritious, affordable food products using imperfect produce and under-appreciated fish in Rhode Island that would be otherwise wasted.",For-Profit,Prevention,Food Product Creation,Surplus Produce; Fishery Bycatch,Value-Added Processing,2014,http://www.eatsecondsfirst.com/,,https://twitter.com/eatsecondsfirst,https://www.linkedin.com/company/secondsfirst?trk=top_nav_home,erika@eatsecondsfirst.com
SensorSpot,Wijchen,,Netherlands,National,"SensorSpot has developed an innovative, non mechanical, food sensor allowing 100% control on gas composition and (micro) leaks of products packed under modified atmosphere.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management ,Improved Inventory Management ,,http://www.sensorspot.nl/en/,,,,info@sensorspot.nl
Share Meals,New York,NY,USA,Local,"We develop web / mobile apps, advocate for university-wide policy changes, and organize public service events. We empower students to strengthen their communities through sharing.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator,,2013,https://www.sharemeals.org/,,,,nucleus@sharemeals.org
Sharebite,New York,NY,USA,Local,"Through our partnership with City Harvest, we share a meal with a child facing hunger on your behalf for every order placed from a local restaurant on Sharebite. ",For-Profit,Recovery,Donation Coordination,Donation Coordinator,,2014,https://sharebite.com/,,https://twitter.com/sharebite/,,care@sharebite.com
SimpleOrder,Tel Aviv,,Israel,National,"SimpleOrder has focused on creating an automated inventory system, so that for the first time, restaurants can have real time inventory counts and resolve issues in leakage and wastage before they become major problems, while simultaneously streamlining their ordering and replenishment process. SimpleOrder is currently reducing waste, cutting costs and streamlining operations in over 1,700 kitchens in 15 countries.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2012,https://simpleorder.com/,,https://twitter.com/SimpleOrderB2B,https://www.linkedin.com/company/simpleorder,info@simpleorder.co
Smarter FridgeCam,London,,United Kingdom,National,"The FridgeCam is the first wireless camera that fits inside any fridge, allowing you to see the contents from anywhere via the Smarter App. In addition, the FridgeCam will also help track expiry dates, auto-replenish and suggest recipes based on the food in your fridge. Food wastage will be a thing of the past!",For-Profit,Prevention,Consumer Education,Smart Refrigerator; Improved Inventory Management [Consumer Level],,2013,http://smarter.am/,https://www.facebook.com/wifikettle/,https://twitter.com/smarter_am,,Press@smarter.am
Snact.,London,,United Kingdom,National,"We make snacks from surplus produce. That's produce that would otherwise be thrown away for being too big, too small, too ugly, or simply too abundant. Tonnes of perfectly good fruit and vegetables get rejected before reaching shop shelves in the UK. We turn that surplus into healthy snacks that contribute to one of your five a day.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2013,http://www.snact.co.uk/,https://www.facebook.com/SnactNow/,https://twitter.com/SnactNow?lang=en,https://www.linkedin.com/company/snact?trk=top_nav_home,hello@snact.co.uk
Souper Seconds,San Francisco,CA,USA,Local,"Souper Seconds is providing a marketplace and distribution channel for seconds and surplus produce. We work directly with our community of organic farmers and wholesale buyers to help small growers and businesses save time and money with simple technology solutions to manage orders, inventory, delivery, and payment all in one place.",For-Profit,Prevention,Secondary Marketplace,Farm to Buyer,Secondary Resellers,2016,http://www.souperseconds.com/,https://www.facebook.com/souperseconds/,https://twitter.com/SouperSeconds,,
Spare Fruit,London,,United Kingdom,Local,"We rescue fresh Kentish apples and pears and gently slice them whole (not wasting a pip), and slowly air-dry (never fry) them into subtly sweet and crunchy slices of natural fruity goodness. Our crisps are low calorie 100% fruit with absolutely nothing added.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2015,http://www.sparefruit.com/,https://www.facebook.com/sparefruitco/,https://twitter.com/sparefruitco?lang=en,,info@sparefruit.com
Spoiler Alert,Boston,MA,USA,Local,"Spoiler Alert offers a collaborative, online platform and value-added services that enable food businesses, farms, and nonprofits to create or recover value from surplus food and organic waste. Our scalable technology platform: Provides real-time capabilities to create and manage food donations, buy-sell transactions, and distributions networks; Enables organizations to coordinate and simplify fulfillment; and Offers the relevant accounting and reporting systems to capture tax benefits and document important financial, environmental, and social metrics.",For-Profit,Prevention; Recovery,Secondary Marketplace; Donation Coordination ,Farm to Buyer; Business to Business; Donation Matching Software,Donation Matching Software,2015,https://www.spoileralert.com/, https://www.facebook.com/foodspoileralert,https://twitter.com/SpoilerAlert,https://www.linkedin.com/company/spoiler-alert?trk=top_nav_home,info@spoileralert.com
Stony Creek Colors,Goodlettsville,TN,USA,National,"Stony Creek Colors has developed the complete agricultural supply chain to deliver reliable and safer bio-based dyes to the textile industry, helping fashion brands meet their goal of reducing hazardous chemical use. Our new, specialty crops, like indigo and black walnut, replace petroleum-based synthetic textile dyes with a reliable, consistent, and U.S. grown colorant ready for use in the commercial fashion industry. Growth plans include extracting dyes from food waste. ",For-profit,Recycling,Specialty Recycled Products,Industrial Products,,2012,http://stonycreekcolors.com/,https://www.facebook.com/stonycreekcolors,https://twitter.com/color_with_life,https://www.linkedin.com/company/stony-creek-colors,
Stop Wasting Food,Copenhagen,,Denmark,National,"Stop Wasting Food is Denmark's largest non-profit consumer movement against food waste. Set up by consumers for consumers, Stop Wasting Food is an NGO that has constructively shaped public opinion in its drive to prevent food waste. It seeks to increase public awareness of the throwaway society by organizing campaigns, mobilizing the press and media, and encouraging discussion, debate and events of all kinds, all with the aim of decreasing the current mountains of food waste. ",Nonprofit,Prevention,Consumer Education,Campaigns,Consumer Education Campaigns,2009,http://www.stopspildafmad.dk/inenglish.html,https://www.facebook.com/Madspild,https://twitter.com/selinajuul,http://dk.linkedin.com/in/selinajuul,info@stopspildafmad.dk
Sustainable Food Systems,Wallingford,CT,USA,Local,Sustainable Food Systems will help you achieve your goals and objectives for integrating healthier food and sustainability practices into your existing programs and systems.,For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management ,Improved Inventory Management ,2005,http://sustainablefoodsystems.com/,https://www.facebook.com/sustainablefoodsystems,https://twitter.com/SustFoodSystems,https://www.linkedin.com/in/johnturenne,sfs@sustainablefoodsystems.com
Swipe Out Hunger,Los Angeles,CA,USA,National,Swipe Out Hunger is non-profit organization consisting of a coalition of university and college chapters located throughout the world. Our core mission is to build a movement of university students and administrators who are working together to end on campus hunger.,Nonprofit,Recovery,Donation Coordination,Donation Coordinator,,2010,http://www.swipehunger.org/programs,https://www.facebook.com/SwipeHunger/,https://twitter.com/SwipeHunger,https://www.linkedin.com/company/swipes-for-the-homeless?trk=top_nav_home,info@swipehunger.org
TakeStock,Berkshire,,United Kingdom,National,Takestock.com was created to be an online trading platform to make it easy for owners of stock to sell their unwanted items and to find a buyer efficiently rather than turning to scrap as an option.,For-Profit,Prevention,Secondary Marketplace,Business to Business,Secondary Resellers,2014,http://www.takestock.com/,https://www.facebook.com/wetakestockuk/,https://twitter.com/takestock1?lang=en,https://www.linkedin.com/company/takestock-com?trk=top_nav_home,partner@takestock.com
TangoTab,,TX,USA,Local,"In America, 50 million people struggle daily to find their next meal. This struggle is referred to as food insecurity. In stark contrast, over 1 billion meals are served at restaurants every week across the United States. With the TangoTab app, each time a person dines out, they could feed a person in need for no added cost. With these numbers, food insecurity can be a thing of the past.",For-Profit,Recovery,Donation Coordination,Donation Coordinator,,2012,http://tangotab.com/index.html,https://www.facebook.com/TangoTab/?ref=nf,https://twitter.com/TangoTab?lang=en,https://www.linkedin.com/company/tangotab?trk=top_nav_home,info@tangotab.com
The Felix Project,London,,United Kingdom,Local,"We collect food from supermarkets, wholesalers and other food suppliers – food that is fresh and nutritious, but cannot be sold for various reasons. We then deliver that food free of charge to a range of charities across London. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2016,http://www.thefelixproject.org/,https://www.facebook.com/thefelixprojectwestlondon/,https://twitter.com/felixprojectwl,https://www.linkedin.com/company/the-felix-project,westlondon@thefelixproject.org
The People's Fridge,Brixton,,United Kingdom,Local,"It's a big fridge in the centre of Brixton where people and businesses can donate spare food, or food that would otherwise go to waste. Others can then go to the fridge to pick up what they want. ",Nonprofit,Recovery,Donation Coordination,Consumer Food Recovery,,2016,http://www.crowdfunder.co.uk/peoples-fridge,,https://twitter.com/peoplesfridge?lang=en,,peoplesfridge@gmail.com
The Real Junk Food Project Cafes,Armley,,United Kingdom,National,"The Real Junk Food Project's 'Pay As You Feel' Cafe has been a key fixture in the community of Armley, Leeds since December 2013. Founded by chef Adam Smith and run exclusively by volunteers, the cafe aims to reduce food waste and help those living in food poverty. Across the UK, there is now a network (~50) of cafes & events which are all run on a Pay As You Feel (PAYF) basis. The PAYF concept is also a UK first...from, The Real Junk Food Project.",Nonprofit,Prevention,Consumer Education; Secondary Marketplace; Donated Food Processing,Campaigns; Brick and Mortar; Value-Added Processing,Secondary Resellers; Value-Added Processing,2013,http://therealjunkfoodproject.org/,https://www.facebook.com/TheRealJunkFoodProject/,https://twitter.com/RealJunkFood?lang=en,https://www.linkedin.com/company/the-real-junk-food-project?trk=top_nav_home,therealjunkfoodproject@outlook.com
The White Moustache,New York,NY,USA,National,"A yogurt manufacturing company that creates ""whey tonics"" from the whey that is left over after the yogurt making process.",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2011,http://thewhitemoustache.com/,https://www.facebook.com/thewhitemoustache/,https://twitter.com/MoustacheYogurt,,dehatigirls@gmail.com
Think.Eat.Save Campaign,Geneva,,Switzerland,National,"A partnership between UNEP, FAO and Messe Düsseldorf, the campaign seeks to galvanize widespread global, regional, and national action on food waste and catalyze more sectors of society to be aware and act as well. The Think.Eat.Save website acts as a portal to showcase these ideas to provide a one-stop shop for news and resources.",Nonprofit,Prevention,Consumer Education,Campaigns,Consumer Education Campaigns,2012,http://www.thinkeatsave.org/index.php/about,,,,
Three Square,Las Vegas,NV,USA,Local,"The Food Rescue Program enables our Program Partners to provide their clients with perishable foods, such as fruits, vegetables, meat, dairy and bakery products that are close to code. Each weekday Three Square drivers in refrigerated trucks visit local grocery and retail stores to pick up those items. They are then delivered directly to an Agency Partner facility where the food is distributed within 24-48 hours or brought back to our warehouse for placement in the Agency Store. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2007,http://www.threesquare.org/,https://www.facebook.com/ThreeSquareFoodBank/,https://twitter.com/threesquareLV,,
Tidal Vision,Juneau,AK,USA,National,"To Reduce Waste & Encourage Sustainable Fishing, We're Upcycling Sustainable Ocean Byproducts!",For-Profit,Recycling ,Specialty Recycled Products,Consumer Products,,2014,http://tidalvisionusa.com/,https://www.facebook.com/TidalVisionUSA,https://twitter.com/TidalVision,,zach@tidalvisionusa.com
Toast Ale,London,,United Kingdom,National,"Toast Ale is brewed to a special recipe that includes fresh, surplus bread that would otherwise be wasted. 
It is a pale ale with a malty taste. All profits go to the charity Feedback to support the fight against food waste, making Toast the best thing since… well, you know",Nonprofit,Prevention,Food Product Creation,Food Scraps,Value-Added Processing,2015,http://www.toastale.com/,https://www.facebook.com/toastale/,https://twitter.com/ToastAle,https://www.linkedin.com/company/toast-ale-ltd?trk=top_nav_home,hello@toastale.com
Tomra Sorting Solutions: Food,Leuven,,Belgium,National,"TOMRA Sorting Solutions is a leading provider of sensor-based food sorting machines and food processing technology for the fresh and processed food industries. TOMRA’s sorting solutions helps increase the yield of produce by 5% - 10% or as much as 25,000 trucks of potatoes alone every year. ",For-Profit,Prevention,Supply Chain and Operational Efficiency,Manufacturing Line Optimization,Manufacturing Line Optimization,1972,https://www.tomra.com/en/solutions-and-products/sorting-solutions/food/,https://www.facebook.com/TOMRA.Sorting.Food/,,https://www.linkedin.com/company/tomra-sorting-food?trk=top_nav_home,
Too Good to Go,New York; London,NY,USA; United Kingdom; Denmark,National,"Too Good To Go is a global social enterprise dedicated to tackling food waste in the restaurant and catering industry. We've created an online and app-based platform that allows restaurants, cafes and bakeries that produce surplus food to sell it at their end of service rather than throw it in the bin. Too Good To Go started in Denmark in November 2015 and has since expanded as far out as the Americas and Australia. ",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2015,http://toogoodtogo.co.uk/#app_section,https://www.facebook.com/toogoodtogoUK/,https://twitter.com/TooGoodToGo_UK?lang=en,https://www.linkedin.com/company/too-good-to-go?trk=top_nav_home,info@toogoodtogo.co.uk
Transfernation,New York,NY,USA,Local,"Transfernation is a 501(c)3 non-profit which leverages technology to ensure that extra food from events goes to supporting communities in need. To date we have rescued over 10,000 pounds of food from events across NYC including corporate luncheons, galas, and conferences.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2013,http://www.transfernation.org/index.php,https://www.facebook.com/pg/projectTransfernation/about/,https://twitter.com/solvehungernow,https://www.linkedin.com/company/transfernation?trk=top_nav_home,samir.goel@transfernation.org
Treasure8,San Francisco,CA,USA,National,"Treasure8 is a San Francisco-based food innovation and technology company on a mission to solve the nutritional challenges and environmental stresses of a growing global population. The Treasure8 team develops, produces and deploys game-changing, delicious food ingredients, processes and products that are healthier for people and the planet. We also create engaging consumer experiences that encourage better food choices.",For-Profit,Prevention,Food Product Creation,Food Scraps; Surplus Produce,Value-Added Processing,2012,http://www.treasure8.com/,,,,contact@treasure8.com
TREHA Trehalose (Nagase America),New York,NY,USA,National,"TREHA® trehalose is a multi-functional disaccharide with unique benefits for freshness, texture, and flavor/aroma in food and beverages.  Trehalose is naturally occurring in many common foods, such as mushrooms, baker’s yeast and honey.  As an ingredient, TREHA® has unique benefits across a wide range of applications, including bakery, snack, confection, meat and seafood, fruit and vegetable processing, and beverages.",For-Profit,Prevention,Shelf-Life Extension,,,1832,http://www.nagase.co.jp/english/,,https://twitter.com/Nagase,https://www.linkedin.com/company/nagase-america-corporation,info@nagase-nam.com
Trust Basket,Bangalore,,India,National,"To avoid disposal of food waste we have Introduced Trust Bin by using this, You can compost most kitchen food waste including fresh fruit and vegetables, prepared foods, cooked and uncooked meats and fish, cheese, eggs, bread, coffee grinds, teabags, wilted flowers and tissues. ",For-Profit,Recycling,Composting,Home Composting,Home Composting,2015,http://www.trustbasket.com/pages/indoor-bokashi-composter,https://www.facebook.com/TrustBasket/?ref=page_internal,https://twitter.com/TrustBasket,,
Turning Earth,King of Prussia,PA,USA,National,"Turning Earth is an integrated organics recycling company dedicated to producing renewable energy, high value compost and sustainable local agriculture, an approach we call The Triple Play. Turning Earth’s mission is to synergize solutions to issues like renewable energy, sustainable agriculture, waste management, and water conservation into a single integrated platform that solves some of our most vexing natural resource and environmental management problems.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2009,http://turningearthllc.com/,,,https://www.linkedin.com/company/turning-earth-llc?trk=top_nav_home,info@turningearthllc.com
Ubifood,Montreal,Quebec,Canada,Local,"Ubifood is the hot new app that connects deal-hungry clients with tech-savvy retailers in real-time. With Ubifood, surplus food is sold and savoured, rather than counted as a loss and thrown away!",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2015,http://www.ubifood.ca/,https://www.facebook.com/UBIFOOD,https://twitter.com/Ubifood?lang=en,https://www.linkedin.com/company/ubifood?trk=top_nav_home,support@ubifood.ca
Uglies - Dieffenbach's Potato Chips,Womelsdorf,PA,USA,Local,Potato chip product line that utilizes cosmetically challenged and surplus potatoes that would otherwise be wasted. ,For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,,http://www.dieffenbachs.com/,,https://twitter.com/dieffenbachs,,
Ugly Apple Cafe,Madison,WI,USA,Local,"Breakfast food cart that incorporates cosmetically-challenged, surplus produce into meals. The Ugly Apple Cafe's mission is to serve a fast and fresh breakfast to Madison, work with local farmers, minimize waste by using their overstock produce, and help Madison's less fortunate get fed. ",For-Profit,Prevention,Food Product Creation; Secondary Marketplace,Surplus Produce; Brick and Mortar,Value-Added Processing; Secondary Resellers,2016,http://www.uglyapplecafe.com/,https://www.facebook.com/uglyapplecafe/,https://twitter.com/uglyapple_cafe,,info@uglyapplecafe.com
Ugly Fruit ,New Haven,CT,USA,Local,Ugly Fruit is a company that creates value out of what others overlook because of appearances. As much as 40% of farms' produce can be wasted because they don’t conform to conventional beauty standards. Ugly Fruit recognizes there is more than meets the eye to this cosmetically challenged produce and aims to create the most delicious fruit snacks on the market with these precious goods.,For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2016,http://www.eatuglyfruit.com/,https://www.facebook.com/eatmoreuglyfruit,https://twitter.com/eatuglyfruit,,hi@eatuglyfruit.com
Ugly Fruit and Veg Campaign,Castro Valley,CA,USA,National,"The Ugly Fruit and Veg campaign uses funny, beautiful and amazing images of less than perfect produce in order to highlight the 20-40% of all produce that goes to waste due to strict grocer cosmetic standards. On Twitter, Instagram, We Heart It and Facebook the campaign has a monthly reach in the millions from over 100,000 followers in more than 180 countries around the world.",Nonprofit,Prevention,Consumer Education,Campaigns,Consumer Education Campaigns,2014,http://www.endfoodwaste.org/ugly-fruit---veg.html,https://www.facebook.com/UglyFruitAndVeg/,https://twitter.com/UglyFruitAndVeg?lang=en,,UglyFruitAndVeg@gmail.com
Ugly Juice,San Francisco,CA,USA,Local,"Ugly Juice offers you a highly nutritious, vegetable based, freshly pressed juice at a fraction of the cost compared to boutique juice shops. We will deliver freshly pressed juice to your house or office every morning and pick up the empty mason jars. We work with local organizations to source our produce from Bay Area farmers, including Imperfect Produce. ",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2016,http://www.drinkuglyjuice.com/,https://www.facebook.com/uglyjuice/?fref=ts,https://twitter.com/DrinkUglyJuice,https://www.linkedin.com/company/ugly-juice-llc?trk=company_logo,info@uglyjuicellc.com
Ugly Produce is Beautiful Campaign,New York,NY,USA,National,"This ​is a global movement of producers, retailers, restaurants and consumers ​to create awareness and revolution in the food industry​ by increasing the consumption of “ugly” fruits & vegetables, and to reduce the resulting food waste and pollution. It is also a consumer education campaign by helping you take action (rather than us just talking about it) through recipes, how tos, and tips (in conjunction with my CraftyBaking.com site).",For-Profit,Prevention,Consumer Education,Campaigns,Consumer Education Campaigns,2016,http://www.uglyproduceisbeautiful.com/,,,,info@uglyproduceisbeautiful.com
Ungraded Produce,Durham,NC,USA,Local,"At Ungraded, we buy and sell locally-grown “ugly” produce and take a triple-bottom- line approach to address the complex set of issues arising from food waste.",For-Profit,Prevention,Secondary Marketplace,Farm to Buyer,Secondary Resellers,2016,http://ungradedproduce.com/,https://www.facebook.com/ungradedproduce/,,,ungradedproduce@gmail.com
Unsung,Baltimore,MD,USA,Local,"UNSUNG is the app for ending hunger in America, creating everyday superheroes. The ""the sharing economy"" has never been this awesome.",For-Profit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2015,http://www.unsung.org/,https://www.facebook.com/unsungorg/,https://twitter.com/unsungorg,https://www.linkedin.com/company/unsung?trk=top_nav_home,hello@unsung.org
Uoharu,Tokyo,,Japan,Local,"Uoharu is part of the Mottainai Project, a partnership between the largest Tsukiji intermediary, Yamaharu, as well as Tokyo restaurant operator, MUGEN, and marketing company A-Dot. Together, they are seeking to solve the waste problem at Tsukiji, and in doing so, reposition the image of ‘wasted’ food as a valuable commodity, raise social consciousness about sustainability, and set a trend for the broader food and beverage industries in Japan.",For-Profit,Prevention,Food Product Creation,Fishery Bycatch,Value-Added Processing,,https://munchies.vice.com/en/articles/all-of-this-restaurants-seafood-is-waste-from-the-worlds-biggest-fish-market,,,,
Urban Death Project,Seattle,WA,USA,National,The Urban Death Project has created an innovative new model of death care that honors both our loved ones and the planet earth. At the heart of this model is a new system called Recomposition that transforms bodies into soil so that we can grow new life after we die.,Nonprofit,Recycling,Composting,,,2014,http://www.urbandeathproject.org/,https://www.facebook.com/urbandeathproject/,https://twitter.com/UrbanDeathProj,,info@urbandeathproject.org
Urban Gleaners,Portland,OR,USA,Local,"Our mission is to help alleviate hunger by collecting edible, surplus food that would otherwise be thrown away and redistributing it to agencies that feed the hungry. The concept of picking up and redistributing food is a simple weapon in the fight against hunger. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2006,http://urbangleaners.org/,https://www.facebook.com/urbangleaners/,https://twitter.com/urbangleaners,,info@urbangleaners.org
Urban Harvester,Los Angeles,CA,USA,Local,"Urban Harvester's Food Recovery Program annually connect over 25,000 meals from our participating food donors to our network of local non profit community agencies throughout Los Angeles County and we're growing.  ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,,www.urbanharvester.org,https://www.facebook.com/Urban-Harvester-146450618757212/,,,info@urbanharvester.org
Vanguard Renewables LLC,Wellesley,MA,USA,National,"A farm-based, zero-waste closed loop lifecycle, the Farm Powered Organics to Energy Lifecycle combines food-based organic waste and farm manure for the environmentally sustainable production of renewable energy and fertilizer.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2010,http://vanguardrenewables.com/,https://www.facebook.com/farmpowered/,,,info@vanguardrenewables.com
Vermont Commodity Program - Salvation Farms,Morrisville,VT,USA,Local,"The Vermont Commodity Program is designed to serve community-based gleaning programs, large-scale farms and farm aggregation businesses by managing farm-fresh surplus foods that are at volumes too great for efficient integration into local distribution methods to charitable food access points or other institutions serving Vermont citizens.",Nonprofit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2016,http://www.salvationfarms.org/programs.html#commodities,https://www.facebook.com/Salvation-Farms-252724078129310/,,,info@salvationfarms.org
Vermont Compost Company,Montpelier,VT,USA,Local,"Vermont Compost Company's primary goal is to provide the highest quality compost and potting soils to growers for organic vegetable and flower production. After more than twenty years in business, Vermont Compost Company continues to produce consistent mixes professional growers depend on for the health of their plants. ",For-Profit,Recycling,Composting,Centralized Composting,Centralized Composting,1992,http://vermontcompost.com/,https://www.facebook.com/vermontcompost,,,info@vermontcompost.com
Vermont Foodbank's Community Kitchen Academy,Burlington,VT,USA,Local,Community Kitchen Academy is a Vermont Foodbank culinary job training program operated at the Chittenden Emergency Food Shelf.  Professional chefs teach unemployed and underemployed Vermonters marketable skills that prepare them for sustainable careers in the food service industry and help break the cycle of poverty and hunger.,Nonprofit,Recovery,Donated Food Processing,Community Kitchen; Value-Added Processing,Value-Added Processing,2009,http://www.feedingchittenden.org/community-kitchen-academy/,https://www.facebook.com/FeedingChittenden/,https://twitter.com/FeedChittenden,,
Veteran Compost,Aberdeen,MD,USA,Local,"Veteran Compost is about two things: 1. Employing veterans and their family members, and 2. Turning food scraps into high-quality compost. ",For-Profit,Recycling,Composting,Centralized Composting,Centralized Composting,2010,http://www.veterancompost.com/,https://www.facebook.com/veterancompost,https://twitter.com/veterancompost,,info@veterancompost.com
Waste No Food,Woodside,CA,USA,Local,"Waste No Food is a registered nonprofit that provides a web-based ""marketplace"" allowing excess food to be donated from the food service industry to qualified charities that work with the needy. Donors who wish to donate their excess food can sign up and post excess food as it becomes available. Qualified charities in the vicinity of the donors who have been vetted by Waste No Food, can claim the food. The charities are responsible for transportation and food handling.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2011,http://wastenofood.org/index,https://www.facebook.com/WasteNoFood/,https://twitter.com/wastenofood,,wastenofoodorg@gmail.com
Waste Not OC,Orange County,CA,USA,Local,"Waste Not OC is a public-private partnership founded in November 2012 by OC Public Health Officer, Dr. Eric Handler, and OC Food Bank Director, Mark Lowry. Our goal is to end hunger and food waste by facilitating the donation of wholesome surplus food in Orange County, CA.",Nonprofit,Recovery,Donation Coordination; Donation Transporation,Donation Coordinator; Donation Transportation,Donation Transportation,2012,http://www.wastenotoc.org/,https://www.facebook.com/WasteNotOC/,https://twitter.com/wastenotoc,https://www.linkedin.com/groups/6800329/profile,wastenotoc@gmail.com
WASTED Pear Farmhouse Ale - Northern Monk Brewing Company,Leeds,,United Kingdom,Local,"Brewed in collaboration with The Real Junk Food Project, Wasted aimed to be the world's first zero-waste beer, utilising leftover croissants and pears in the mash. The leftover pulps from the brewing were donated as livestock feed.",For-Profit,Prevention,Food Product Creation,Food Scraps,Value-Added Processing,2014,https://www.northernmonkbrewco.com/beer/wasted-pear-farmhouse-ale,https://www.facebook.com/NORTHERNMONKBREWCo,https://twitter.com/nmbco,,drink@northernmonkbrewco.com
